case_id,witn_id,witness_statement
CASE058,WITN472,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE058,WITN156,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE059,WITN067,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE059,WITN145,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE059,WITN168,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE059,WITN392,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE059,WITN575,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE060,WITN574,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE060,WITN122,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE060,WITN591,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE061,WITN648,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE061,WITN236,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE061,WITN046,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE061,WITN301,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE062,WITN132,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN316,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN026,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN232,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE063,WITN308,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE063,WITN311,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE063,WITN508,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE064,WITN274,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE064,WITN090,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE064,WITN234,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE065,WITN501,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE065,WITN439,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE065,WITN362,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE066,WITN360,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE067,WITN293,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE068,WITN457,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE069,WITN421,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE070,WITN160,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE070,WITN526,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE071,WITN405,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE071,WITN188,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE071,WITN365,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE071,WITN044,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN588,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE072,WITN184,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE072,WITN384,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN445,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN504,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN462,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE073,WITN432,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE073,WITN037,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE073,WITN606,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE074,WITN256,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE075,WITN463,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE075,WITN124,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE075,WITN458,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE075,WITN225,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE075,WITN211,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE076,WITN351,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE076,WITN430,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE077,WITN427,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE078,WITN135,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE078,WITN494,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE078,WITN202,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE078,WITN568,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE079,WITN629,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE079,WITN433,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE080,WITN064,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE080,WITN119,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE080,WITN543,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE081,WITN376,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE081,WITN065,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE081,WITN214,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE082,WITN502,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE083,WITN110,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN487,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE083,WITN446,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN069,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN277,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE084,WITN041,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE084,WITN002,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE085,WITN121,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE085,WITN027,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE085,WITN150,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE085,WITN023,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE085,WITN161,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE085,WITN185,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE086,WITN536,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE086,WITN296,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE086,WITN111,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE087,WITN192,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE087,WITN257,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE087,WITN165,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE088,WITN320,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE088,WITN141,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE089,WITN438,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE089,WITN408,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE090,WITN099,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE090,WITN114,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE090,WITN130,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE090,WITN200,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE090,WITN148,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE091,WITN039,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE091,WITN474,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE092,WITN167,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE092,WITN382,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE092,WITN507,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE093,WITN579,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE094,WITN451,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE094,WITN350,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE094,WITN342,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE094,WITN327,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE095,WITN176,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE096,WITN431,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE097,WITN253,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE097,WITN321,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE098,WITN207,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN175,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN546,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN523,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE098,WITN453,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE099,WITN413,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE099,WITN263,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE099,WITN248,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE099,WITN340,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE100,WITN533,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE101,WITN021,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE102,WITN158,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE102,WITN307,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE103,WITN529,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE103,WITN319,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE104,WITN049,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE104,WITN554,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE105,WITN312,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE105,WITN406,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE105,WITN417,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE106,WITN647,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE107,WITN068,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE107,WITN614,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE108,WITN043,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE109,WITN112,I was present in the meeting when the accused promised a double return on investment within six months.
CASE109,WITN302,I was present in the meeting when the accused promised a double return on investment within six months.
CASE109,WITN419,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE110,WITN309,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE110,WITN397,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE111,WITN093,I was present in the meeting when the accused promised a double return on investment within six months.
CASE111,WITN194,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE112,WITN571,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE112,WITN237,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE113,WITN510,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE113,WITN509,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE113,WITN254,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE114,WITN497,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE114,WITN191,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE114,WITN163,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE115,WITN281,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE115,WITN126,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE115,WITN286,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE116,WITN107,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE116,WITN242,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE116,WITN643,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE117,WITN541,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE117,WITN605,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE118,WITN337,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE118,WITN159,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE119,WITN480,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE119,WITN527,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE120,WITN490,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE120,WITN565,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE121,WITN325,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE121,WITN367,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE122,WITN151,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE122,WITN249,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE122,WITN423,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE123,WITN018,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE123,WITN235,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE124,WITN645,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE124,WITN414,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE124,WITN460,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE125,WITN552,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE126,WITN009,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE126,WITN329,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE127,WITN576,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE127,WITN396,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE127,WITN637,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE127,WITN409,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE128,WITN244,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE128,WITN477,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE129,WITN054,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE129,WITN010,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE129,WITN518,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE130,WITN270,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE130,WITN627,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE131,WITN117,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE132,WITN028,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE132,WITN116,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE132,WITN335,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE132,WITN407,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE132,WITN113,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE133,WITN251,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE133,WITN354,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE134,WITN595,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE134,WITN100,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE135,WITN590,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE135,WITN570,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE136,WITN310,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE137,WITN106,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE138,WITN272,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE139,WITN336,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE139,WITN179,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE139,WITN650,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
