evidence_id,case_id,evidence_type,description,seizure_date
EVID0047,CASE016,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-09-15 05:38:23
EVID0048,CASE016,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-09-11 20:18:24
EVID0049,CASE016,Broken Glass,Broken glass shards collected for forensic examination.,2025-09-16 08:58:08
EVID0050,CASE017,Laptop,Personal laptop containing document files related to the case.,2026-06-01 13:15:03
EVID0051,CASE017,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Wilson Garden 5th Bypass Road.,2026-05-31 21:46:12
EVID0052,CASE017,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-05-25 21:42:44
EVID0053,CASE018,Threat Letter,Threat letter written by the accused received by the victim.,2025-12-05 19:53:20
EVID0054,CASE018,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Commercial Street Bazaar Street.,2025-12-07 03:25:21
EVID0055,CASE019,CCTV Footage,CCTV footage recorded at the crime scene near Narayanpur Dharwad Galli location showing the suspect's possession.,2025-11-18 02:31:16
EVID0056,CASE019,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-11-18 11:04:51
EVID0057,CASE020,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-09-28 22:11:37
EVID0058,CASE020,IP Address Log,Access logs showing logins to the target banking portal.,2025-09-22 05:47:21
EVID0059,CASE020,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-09-30 05:34:26
EVID0060,CASE020,Email Records,Phishing or fraudulent email communications retrieved.,2025-09-25 15:19:46
EVID0061,CASE021,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-06-08 05:47:32
EVID0062,CASE021,Email Records,Email threads between the complainant and the fraudulent sender.,2026-06-08 01:48:51
EVID0063,CASE021,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-06-03 15:04:11
EVID0064,CASE021,IP Address Log,IP address access log associated with the fraud transaction.,2026-06-05 04:49:51
EVID0065,CASE021,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-06-10 14:25:33
EVID0066,CASE022,Laptop,Personal laptop containing document files related to the case.,2026-02-16 14:42:04
EVID0067,CASE023,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-05-04 17:45:51
EVID0068,CASE023,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-05-06 16:10:16
EVID0069,CASE023,Email Records,Email threads between the complainant and the fraudulent sender.,2026-05-01 07:23:26
EVID0070,CASE024,Wallet,Wallet recovered from the crime scene near Udyambag Main Road containing identity cards.,2025-12-31 23:46:42
EVID0071,CASE024,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-01-02 11:54:56
EVID0072,CASE024,SIM Card,SIM card recovered from the suspect's possession's device.,2025-12-30 07:06:05
EVID0073,CASE025,Hard Disk,Hard drive containing files and data log information.,2026-04-11 10:26:50
EVID0074,CASE025,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Ganga Nagar Station Road.,2026-04-11 06:11:07
EVID0075,CASE025,Threat Letter,Threat letter written by the accused received by the victim.,2026-04-12 09:45:35
EVID0076,CASE025,Laptop,Personal laptop containing document files related to the case.,2026-04-08 08:50:24
EVID0077,CASE026,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-03-09 12:09:05
EVID0078,CASE026,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-03-05 23:19:09
EVID0079,CASE026,IP Address Log,Access logs showing logins to the target banking portal.,2025-03-11 23:11:39
EVID0080,CASE026,Email Records,Phishing or fraudulent email communications retrieved.,2025-03-11 23:48:29
EVID0081,CASE026,Wallet,Wallet recovered from the crime scene near Basavanagudi 4th Junction Road containing identity cards.,2025-03-09 21:19:13
EVID0082,CASE027,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Harlur Road Lane.,2025-06-18 23:18:03
EVID0083,CASE027,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-06-24 09:31:17
EVID0084,CASE027,Hard Disk,Hard drive containing files and data log information.,2025-06-23 09:09:07
EVID0085,CASE027,Wallet,Wallet recovered from the crime scene near Harlur Road Lane containing identity cards.,2025-06-22 07:43:31
EVID0086,CASE028,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Vijayanagar Cross Road.,2025-08-07 03:52:28
EVID0087,CASE029,Laptop,Personal laptop containing document files related to the case.,2026-01-02 08:48:28
EVID0088,CASE029,Mobile Phone,Seized phone containing suspicious communications.,2026-01-07 15:16:24
EVID0089,CASE029,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-01-03 11:16:07
EVID0090,CASE029,Wallet,Wallet recovered from the crime scene near BTM 2nd Stage 16th Main containing identity cards.,2026-01-08 15:16:42
EVID0091,CASE030,Laptop,Personal laptop containing document files related to the case.,2026-01-23 16:55:16
EVID0092,CASE030,Wallet,Wallet recovered from the crime scene near Langford Town Bazaar Street containing identity cards.,2026-01-23 08:30:58
EVID0093,CASE031,Hard Disk,Hard drive containing files and data log information.,2026-03-06 03:57:54
EVID0094,CASE031,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Hindwadi Lane.,2026-03-06 10:41:23
EVID0095,CASE031,Wallet,Wallet recovered from the crime scene near Hindwadi Lane containing identity cards.,2026-03-12 10:47:28
EVID0096,CASE031,Broken Glass,Broken glass shards collected for forensic examination.,2026-03-08 18:21:02
EVID0097,CASE032,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Hulimavu Highway.,2026-05-17 06:24:44
EVID0098,CASE032,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-16 21:57:47
EVID0099,CASE032,Broken Glass,Broken glass shards collected for forensic examination.,2026-05-17 11:46:43
EVID0100,CASE032,Wallet,Wallet recovered from the crime scene near Hulimavu Highway containing identity cards.,2026-05-14 18:33:14
EVID0101,CASE032,SIM Card,SIM card recovered from the suspect's possession's device.,2026-05-18 20:45:43
EVID0102,CASE033,Fingerprints,Latent fingerprints lifted from the crime scene near Sahakara Nagar Bazaar Street environment.,2025-05-24 07:51:57
EVID0103,CASE033,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-05-29 23:16:43
EVID0104,CASE033,CCTV Footage,CCTV footage recorded at the crime scene near Sahakara Nagar Bazaar Street location showing the suspect's possession.,2025-05-28 01:35:27
EVID0105,CASE033,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-05-30 18:04:29
EVID0106,CASE034,Fingerprints,Latent fingerprints lifted from the crime scene near Adugodi Bypass Road environment.,2025-09-26 12:16:49
EVID0107,CASE034,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-10-01 07:58:54
EVID0108,CASE034,CCTV Footage,CCTV footage recorded at the crime scene near Adugodi Bypass Road location showing the suspect's possession.,2025-09-23 23:24:34
EVID0109,CASE034,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-09-24 17:37:53
EVID0110,CASE035,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-12-01 01:23:42
EVID0111,CASE035,Email Records,Phishing or fraudulent email communications retrieved.,2025-12-05 10:14:05
EVID0112,CASE036,Threat Letter,Threat letter written by the accused received by the victim.,2025-09-27 10:50:14
EVID0113,CASE036,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Gandhi Nagar Dharwad Bazaar Street.,2025-09-27 22:48:42
EVID0114,CASE036,Laptop,Personal laptop containing document files related to the case.,2025-09-28 12:12:22
EVID0115,CASE036,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-09-26 14:01:53
EVID0116,CASE036,Broken Glass,Broken glass shards collected for forensic examination.,2025-09-28 08:55:07
EVID0117,CASE037,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-12-17 11:58:57
EVID0118,CASE037,Threat Letter,Threat letter written by the accused received by the victim.,2025-12-22 07:54:45
EVID0119,CASE038,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-09-14 01:43:08
EVID0120,CASE038,IP Address Log,IP address access log associated with the fraud transaction.,2025-09-13 04:36:46
EVID0121,CASE038,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-09-14 07:34:15
EVID0122,CASE038,Email Records,Email threads between the complainant and the fraudulent sender.,2025-09-12 02:43:52
EVID0123,CASE038,Wallet,Wallet recovered from the crime scene near Kulshekar Main Road containing identity cards.,2025-09-16 03:17:54
EVID0124,CASE039,SIM Card,SIM card recovered from the suspect's possession's device.,2025-12-26 11:58:07
EVID0125,CASE039,Mobile Phone,Seized phone containing suspicious communications.,2025-12-19 07:50:57
EVID0126,CASE039,Wallet,Wallet recovered from the crime scene near Hindwadi Lane containing identity cards.,2025-12-20 04:41:10
EVID0127,CASE040,CCTV Footage,CCTV footage recorded at the crime scene near MG Road location showing the suspect's possession.,2026-05-04 11:31:42
EVID0128,CASE040,Fingerprints,Latent fingerprints lifted from the crime scene near MG Road environment.,2026-05-05 00:44:29
EVID0129,CASE040,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-05-03 00:15:16
EVID0130,CASE040,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2026-05-06 09:34:15
EVID0131,CASE040,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near MG Road.,2026-05-06 11:23:14
EVID0132,CASE041,Email Records,Phishing or fraudulent email communications retrieved.,2026-02-15 21:59:49
EVID0133,CASE041,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-02-06 09:38:27
EVID0134,CASE041,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-02-07 16:04:04
EVID0135,CASE041,IP Address Log,Access logs showing logins to the target banking portal.,2026-02-07 13:00:58
EVID0136,CASE042,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-10-16 16:38:50
EVID0137,CASE042,Laptop,Personal laptop containing document files related to the case.,2025-10-15 00:03:38
EVID0138,CASE042,Wallet,Wallet recovered from the crime scene near Ganga Nagar 3th Galli containing identity cards.,2025-10-14 17:38:58
EVID0139,CASE043,Fingerprints,Latent fingerprints lifted from the crime scene near Singasandra Station Road environment.,2025-09-04 16:52:09
EVID0140,CASE043,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-09-08 11:29:38
EVID0141,CASE043,CCTV Footage,CCTV footage recorded at the crime scene near Singasandra Station Road location showing the suspect's possession.,2025-09-05 08:30:48
EVID0142,CASE043,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-09-06 13:36:16
EVID0143,CASE043,Threat Letter,Threat letter written by the accused received by the victim.,2025-09-02 09:48:07
EVID0144,CASE044,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Rajajinagar Temple Road.,2026-04-25 16:17:33
EVID0145,CASE044,SIM Card,SIM card recovered from the suspect's possession's device.,2026-05-02 01:03:18
EVID0146,CASE044,Mobile Phone,Seized phone containing suspicious communications.,2026-04-28 23:36:20
EVID0147,CASE044,Laptop,Personal laptop containing document files related to the case.,2026-04-26 17:21:53
EVID0148,CASE044,Hard Disk,Hard drive containing files and data log information.,2026-04-28 22:16:02
EVID0149,CASE045,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-10-29 14:23:09
EVID0150,CASE045,Fingerprints,Latent fingerprints lifted from the crime scene near Ejipura Galli environment.,2025-10-25 05:24:42
EVID0151,CASE046,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-04-28 13:56:11
EVID0152,CASE046,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-04-24 19:17:40
EVID0153,CASE046,Fingerprints,Latent fingerprints lifted from the crime scene near Hulimavu Highway environment.,2025-04-22 03:52:42
EVID0154,CASE046,CCTV Footage,CCTV footage recorded at the crime scene near Hulimavu Highway location showing the suspect's possession.,2025-04-19 11:33:56
EVID0155,CASE047,Broken Glass,Broken glass shards collected for forensic examination.,2025-09-26 02:40:47
EVID0156,CASE047,SIM Card,SIM card recovered from the suspect's possession's device.,2025-09-26 11:50:18
EVID0157,CASE047,Hard Disk,Hard drive containing files and data log information.,2025-09-26 12:05:15
EVID0158,CASE047,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-09-27 23:34:09
EVID0159,CASE048,Email Records,Email threads between the complainant and the fraudulent sender.,2025-05-03 10:49:29
EVID0160,CASE048,IP Address Log,IP address access log associated with the fraud transaction.,2025-05-07 08:45:54
EVID0161,CASE048,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-04-29 22:02:14
EVID0162,CASE049,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2026-05-04 00:44:43
EVID0163,CASE049,CCTV Footage,CCTV footage recorded at the crime scene near Sarakki Lake Road location showing the suspect's possession.,2026-05-06 01:27:44
EVID0164,CASE049,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-05-08 21:38:42
EVID0165,CASE050,Hard Disk,Hard drive containing files and data log information.,2025-03-28 21:49:24
EVID0166,CASE051,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-06-08 16:30:30
EVID0167,CASE051,Fingerprints,Latent fingerprints lifted from the crime scene near Vijayanagar Cross Road environment.,2026-06-09 16:47:14
EVID0168,CASE051,CCTV Footage,CCTV footage recorded at the crime scene near Vijayanagar Cross Road location showing the suspect's possession.,2026-06-11 17:30:31
EVID0169,CASE051,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2026-06-09 19:55:50
EVID0170,CASE051,Laptop,Personal laptop containing document files related to the case.,2026-06-12 22:14:13
EVID0171,CASE052,Threat Letter,Threat letter written by the accused received by the victim.,2025-03-09 10:48:24
EVID0172,CASE053,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-05-27 03:09:53
EVID0173,CASE053,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-05-29 17:37:19
EVID0174,CASE053,CCTV Footage,CCTV footage recorded at the crime scene near Kammasandra Temple Road location showing the suspect's possession.,2025-05-29 20:46:24
EVID0175,CASE053,Fingerprints,Latent fingerprints lifted from the crime scene near Kammasandra Temple Road environment.,2025-05-29 11:45:56
EVID0176,CASE054,Hard Disk,Hard drive containing files and data log information.,2025-07-06 00:02:28
EVID0177,CASE054,Broken Glass,Broken glass shards collected for forensic examination.,2025-07-10 02:38:25
EVID0178,CASE054,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-07-08 05:25:55
EVID0179,CASE054,SIM Card,SIM card recovered from the suspect's possession's device.,2025-07-05 15:58:51
EVID0180,CASE054,Mobile Phone,Seized phone containing suspicious communications.,2025-07-05 06:01:49
EVID0181,CASE055,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-02-04 17:30:48
EVID0182,CASE055,Email Records,Phishing or fraudulent email communications retrieved.,2026-02-03 16:34:42
EVID0183,CASE055,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-01-30 09:40:16
EVID0184,CASE056,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Hennur Gardens 5th Link Road.,2025-05-10 18:36:29
EVID0185,CASE056,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-05-07 22:41:38
EVID0186,CASE056,Laptop,Personal laptop containing document files related to the case.,2025-05-11 17:36:37
EVID0187,CASE057,Laptop,Personal laptop containing document files related to the case.,2025-02-16 07:25:18
EVID0188,CASE057,Threat Letter,Threat letter written by the accused received by the victim.,2025-02-15 03:34:32
EVID0189,CASE057,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Devaraja Mohalla Link Road.,2025-02-22 15:48:17
EVID0190,CASE057,Hard Disk,Hard drive containing files and data log information.,2025-02-20 16:42:36
EVID0191,CASE058,IP Address Log,IP address access log associated with the fraud transaction.,2025-04-13 14:37:29
EVID0192,CASE058,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-04-10 16:32:30
EVID0193,CASE058,Email Records,Email threads between the complainant and the fraudulent sender.,2025-04-18 13:15:31
EVID0194,CASE059,Mobile Phone,Seized phone containing suspicious communications.,2025-06-02 15:38:17
EVID0195,CASE059,Wallet,Wallet recovered from the crime scene near 14th Main Road HSR containing identity cards.,2025-06-05 11:29:28
EVID0196,CASE059,Broken Glass,Broken glass shards collected for forensic examination.,2025-06-02 08:11:05
EVID0197,CASE059,SIM Card,SIM card recovered from the suspect's possession's device.,2025-06-09 14:47:02
EVID0198,CASE059,Laptop,Personal laptop containing document files related to the case.,2025-05-31 16:11:10
EVID0199,CASE060,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2026-02-11 12:37:34
EVID0200,CASE060,SIM Card,SIM card recovered from the suspect's possession's device.,2026-02-07 20:49:26
EVID0201,CASE061,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Angol Galli.,2025-11-02 03:06:52
EVID0202,CASE062,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2025-10-27 05:20:46
EVID0203,CASE062,Clothing,Stained clothing of the victim containing forensic trace material.,2025-10-26 12:33:39
EVID0204,CASE062,DNA Sample,Biological DNA samples extracted from the crime scene near Bilekahalli Highway.,2025-10-26 08:43:20
EVID0205,CASE062,Blood Sample,Blood spatter samples collected from the scene of the incident.,2025-10-30 18:39:24
EVID0206,CASE062,Wallet,Wallet recovered from the crime scene near Bilekahalli Highway containing identity cards.,2025-11-01 04:44:44
EVID0207,CASE063,Hard Disk,Hard drive containing files and data log information.,2026-05-14 14:22:32
EVID0208,CASE063,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-17 18:11:51
EVID0209,CASE064,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Bilekahalli Highway.,2025-09-09 07:15:09
EVID0210,CASE065,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Peenya Temple Road.,2025-03-29 10:48:03
EVID0211,CASE065,Hard Disk,Hard drive containing files and data log information.,2025-03-30 01:49:02
EVID0212,CASE065,Wallet,Wallet recovered from the crime scene near Peenya Temple Road containing identity cards.,2025-03-26 04:36:38
EVID0213,CASE065,Mobile Phone,Seized phone containing suspicious communications.,2025-03-30 16:26:18
EVID0214,CASE066,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-12-14 12:41:36
EVID0215,CASE067,Email Records,Email threads between the complainant and the fraudulent sender.,2025-10-21 14:12:48
EVID0216,CASE067,IP Address Log,IP address access log associated with the fraud transaction.,2025-10-20 13:36:53
EVID0217,CASE067,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-10-17 17:12:06
EVID0218,CASE067,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-10-21 05:17:29
EVID0219,CASE067,Wallet,Wallet recovered from the crime scene near Chikkalasandra 2th Ring Road containing identity cards.,2025-10-19 19:39:30
EVID0220,CASE068,Laptop,Personal laptop containing document files related to the case.,2026-04-27 02:15:59
EVID0221,CASE068,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-02 12:25:25
EVID0222,CASE069,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-09-12 00:59:50
EVID0223,CASE069,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-09-13 01:51:41
EVID0224,CASE069,Email Records,Email threads between the complainant and the fraudulent sender.,2025-09-08 08:26:49
EVID0225,CASE069,IP Address Log,IP address access log associated with the fraud transaction.,2025-09-10 23:33:12
EVID0226,CASE069,Threat Letter,Threat letter written by the accused received by the victim.,2025-09-12 02:26:27
EVID0227,CASE070,SIM Card,SIM card recovered from the suspect's possession's device.,2025-03-28 13:25:21
EVID0228,CASE070,Hard Disk,Hard drive containing files and data log information.,2025-03-26 21:06:36
EVID0229,CASE070,Mobile Phone,Seized phone containing suspicious communications.,2025-04-01 03:38:24
EVID0230,CASE071,Blood Sample,Blood spatter samples collected from the scene of the incident.,2026-05-13 19:01:35
EVID0231,CASE071,Clothing,Stained clothing of the victim containing forensic trace material.,2026-05-12 01:19:58
EVID0232,CASE071,DNA Sample,Biological DNA samples extracted from the crime scene near Siddhartha Layout Lane.,2026-05-16 04:34:16
EVID0233,CASE071,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2026-05-14 10:32:17
EVID0234,CASE071,SIM Card,SIM card recovered from the suspect's possession's device.,2026-05-16 10:38:28
EVID0235,CASE071,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Siddhartha Layout Lane.,2026-05-14 05:07:20
EVID0236,CASE071,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Siddhartha Layout Lane.,2026-05-12 21:26:30
EVID0237,CASE072,DNA Sample,Biological DNA samples extracted from the crime scene near Banashankari Junction Road.,2025-02-26 09:52:09
EVID0238,CASE072,Weapon of Offence,"Weapon used in the crime (e.g. knife, rod) recovered near the scene.",2025-02-25 13:55:41
EVID0239,CASE072,Clothing,Stained clothing of the victim containing forensic trace material.,2025-03-02 03:36:23
EVID0240,CASE072,Blood Sample,Blood spatter samples collected from the scene of the incident.,2025-03-02 23:26:03
EVID0241,CASE073,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-01-26 16:34:47
EVID0242,CASE073,Fingerprints,Latent fingerprints lifted from the crime scene near Kaggadasapura Ring Road environment.,2026-01-29 15:39:58
EVID0243,CASE073,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2026-01-24 17:19:33
EVID0244,CASE074,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2025-12-01 16:30:19
EVID0245,CASE074,Email Records,Email threads between the complainant and the fraudulent sender.,2025-11-26 10:39:58
EVID0246,CASE074,IP Address Log,IP address access log associated with the fraud transaction.,2025-11-29 04:57:08
EVID0247,CASE074,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-11-29 05:24:20
EVID0248,CASE074,SIM Card,SIM card recovered from the suspect's possession's device.,2025-11-30 19:50:03
EVID0249,CASE075,Mobile Phone,Seized phone containing suspicious communications.,2025-10-26 01:14:55
EVID0250,CASE075,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Gottigere Cross Road.,2025-10-28 11:03:04
EVID0251,CASE075,Laptop,Personal laptop containing document files related to the case.,2025-10-26 01:36:50
EVID0252,CASE075,Threat Letter,Threat letter written by the accused received by the victim.,2025-10-31 15:42:39
EVID0253,CASE076,IP Address Log,Access logs showing logins to the target banking portal.,2025-03-19 23:44:06
EVID0254,CASE076,Email Records,Phishing or fraudulent email communications retrieved.,2025-03-21 10:35:46
EVID0255,CASE077,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-04-23 13:45:38
EVID0256,CASE077,Email Records,Email threads between the complainant and the fraudulent sender.,2026-04-16 16:47:40
